title,currency,value,status
deal_0,GBP,824.62,lost
deal_1,EUR,428.78,open
deal_2,USD,297.32,open
deal_3,USD,709.86,deleted
deal_4,GBP,247.23,won
deal_5,EUR,724.33,won
deal_6,USD,450.69,lost
deal_7,USD,600.51,deleted
deal_8,EUR,324.3,lost
deal_9,USD,956.28,won
deal_10,GBP,729.76,won
deal_11,GBP,567.97,open
deal_12,GBP,965.49,lost
deal_13,EUR,527.34,won
deal_14,USD,828.53,open
deal_15,USD,650.05,deleted
deal_16,GBP,29.64,won
deal_17,EUR,46.1,won
deal_18,GBP,229.77,won
deal_19,USD,763.63,open
deal_20,GBP,694.99,open
deal_21,USD,597.81,won
deal_22,GBP,463.08,deleted
deal_23,USD,391.1,deleted
deal_24,GBP,61.42,won
deal_25,EUR,188.21,open
deal_26,USD,385.0,deleted
deal_27,GBP,222.88,won
deal_28,GBP,629.49,deleted
deal_29,EUR,880.95,lost
deal_30,EUR,486.75,lost
deal_31,EUR,674.06,lost
deal_32,GBP,721.65,deleted
deal_33,USD,516.13,lost
deal_34,GBP,298.54,lost
deal_35,EUR,805.83,open
deal_36,GBP,574.95,won
deal_37,EUR,700.44,won
deal_38,USD,279.52,deleted
deal_39,USD,387.89,won
deal_40,USD,766.84,lost
deal_41,GBP,6.73,lost
deal_42,USD,697.63,deleted
deal_43,USD,204.37,deleted
deal_44,USD,134.4,open
deal_45,USD,687.65,open
deal_46,GBP,291.62,won
deal_47,USD,810.15,won
deal_48,USD,786.83,lost
deal_49,EUR,557.0,deleted
deal_50,EUR,133.15,deleted
deal_51,USD,696.51,open
deal_52,EUR,667.33,deleted
deal_53,EUR,434.14,lost
deal_54,GBP,222.13,won
deal_55,USD,828.95,deleted
deal_56,GBP,548.61,open
deal_57,GBP,408.81,lost
deal_58,USD,919.44,lost
deal_59,USD,889.97,lost
deal_60,USD,294.88,lost
deal_61,USD,950.35,won
deal_62,EUR,365.98,won
deal_63,GBP,129.12,deleted
deal_64,EUR,405.37,open
deal_65,USD,216.02,deleted
deal_66,USD,4.39,deleted
deal_67,GBP,642.54,deleted
deal_68,USD,150.97,deleted
deal_69,USD,143.36,deleted
deal_70,GBP,599.55,open
deal_71,USD,832.6,open
deal_72,USD,677.55,won
deal_73,USD,831.32,open
deal_74,USD,181.62,won
deal_75,EUR,656.35,open
deal_76,USD,196.41,won
deal_77,EUR,631.54,lost
deal_78,EUR,247.06,deleted
deal_79,GBP,897.77,won
deal_80,USD,287.13,open
deal_81,GBP,984.36,deleted
deal_82,USD,864.11,won
deal_83,GBP,177.62,lost
deal_84,USD,862.66,lost
deal_85,GBP,259.86,lost
deal_86,EUR,890.22,open
deal_87,GBP,243.9,open
deal_88,USD,584.09,deleted
deal_89,EUR,868.14,deleted
deal_90,USD,866.9,lost
deal_91,GBP,405.45,open
deal_92,EUR,544.6,lost
deal_93,EUR,561.66,lost
deal_94,EUR,663.77,won
deal_95,EUR,36.86,won
deal_96,USD,551.01,won
deal_97,EUR,512.91,lost
deal_98,GBP,972.38,deleted
deal_99,EUR,33.85,open
deal_100,USD,553.21,lost
deal_101,GBP,393.77,won
deal_102,EUR,93.6,lost
deal_103,EUR,152.4,won
deal_104,EUR,496.38,open
deal_105,GBP,39.38,won
deal_106,GBP,512.76,won
deal_107,USD,291.78,open
deal_108,GBP,711.25,lost
deal_109,GBP,355.18,won
deal_110,USD,206.92,won
deal_111,EUR,967.39,won
deal_112,GBP,687.48,deleted
deal_113,GBP,746.56,deleted
deal_114,EUR,348.98,open
deal_115,USD,835.5,won
deal_116,USD,236.51,won
deal_117,EUR,12.07,deleted
deal_118,GBP,735.13,won
deal_119,USD,886.56,open
deal_120,USD,353.16,open
deal_121,GBP,47.09,deleted
deal_122,USD,559.87,open
deal_123,GBP,779.23,lost
deal_124,GBP,375.94,open
deal_125,GBP,354.98,deleted
deal_126,USD,356.72,lost
deal_127,GBP,636.39,won
deal_128,USD,321.7,lost
deal_129,EUR,179.48,open
deal_130,EUR,371.81,open
deal_131,USD,424.5,deleted
deal_132,USD,489.82,lost
deal_133,USD,719.54,deleted
deal_134,USD,509.5,open
deal_135,USD,698.2,deleted
deal_136,GBP,313.72,open
deal_137,USD,1.63,won
deal_138,USD,792.37,open
deal_139,GBP,935.59,lost
deal_140,USD,522.65,lost
deal_141,EUR,445.7,lost
deal_142,USD,623.94,lost
deal_143,EUR,408.45,won
deal_144,EUR,368.65,won
deal_145,EUR,621.16,deleted
deal_146,EUR,104.1,lost
deal_147,EUR,782.68,open
deal_148,GBP,584.43,deleted
deal_149,USD,830.63,won
deal_150,GBP,931.15,won
deal_151,USD,543.18,open
deal_152,USD,298.52,won
deal_153,EUR,920.08,open
deal_154,USD,901.04,lost
deal_155,USD,886.67,lost
deal_156,EUR,481.27,deleted
deal_157,USD,435.37,lost
deal_158,GBP,79.45,deleted
deal_159,USD,273.48,deleted
deal_160,USD,610.85,deleted
deal_161,EUR,157.91,lost
deal_162,GBP,827.04,won
deal_163,EUR,255.69,lost
deal_164,EUR,536.43,won
deal_165,GBP,399.63,deleted
deal_166,USD,389.95,open
deal_167,GBP,452.42,lost
deal_168,USD,220.11,lost
deal_169,GBP,43.29,deleted
deal_170,USD,871.96,won
deal_171,GBP,205.64,lost
deal_172,EUR,277.63,open
deal_173,USD,377.91,lost
deal_174,USD,225.51,lost
deal_175,EUR,908.02,deleted
deal_176,EUR,10.89,open
deal_177,USD,981.84,won
deal_178,USD,112.08,deleted
deal_179,EUR,42.8,open
deal_180,EUR,592.22,open
deal_181,EUR,922.93,open
deal_182,USD,644.22,open
deal_183,EUR,96.48,deleted
deal_184,EUR,837.11,deleted
deal_185,USD,789.23,deleted
deal_186,GBP,276.81,lost
deal_187,GBP,791.71,won
deal_188,EUR,773.84,lost
deal_189,USD,571.51,lost
deal_190,EUR,612.57,deleted
deal_191,GBP,9.09,deleted
deal_192,USD,459.57,won
deal_193,USD,641.28,deleted
deal_194,USD,709.45,deleted
deal_195,GBP,340.46,won
deal_196,USD,38.79,lost
deal_197,EUR,392.9,won
deal_198,EUR,531.46,open
deal_199,EUR,691.46,won
deal_200,USD,657.54,deleted
deal_201,EUR,253.7,open
deal_202,GBP,357.49,won
deal_203,EUR,108.77,open
deal_204,USD,270.89,lost
deal_205,GBP,855.0,lost
deal_206,EUR,638.71,lost
deal_207,EUR,821.11,lost
deal_208,EUR,272.54,won
deal_209,EUR,824.93,open
deal_210,USD,908.15,open
deal_211,GBP,970.91,won
deal_212,USD,567.87,won
deal_213,USD,383.4,deleted
deal_214,USD,750.19,deleted
deal_215,USD,206.39,won
deal_216,GBP,123.37,lost
deal_217,EUR,867.09,lost
deal_218,EUR,666.46,won
deal_219,GBP,552.84,lost
deal_220,GBP,320.78,deleted
deal_221,USD,124.42,deleted
deal_222,GBP,758.17,won
deal_223,USD,317.06,deleted
deal_224,EUR,760.19,deleted
deal_225,GBP,152.63,open
deal_226,GBP,520.26,won
deal_227,EUR,224.84,deleted
deal_228,EUR,204.47,lost
deal_229,USD,14.94,won
deal_230,GBP,126.75,deleted
deal_231,USD,389.45,won
deal_232,USD,89.86,open
deal_233,GBP,61.42,won
deal_234,GBP,866.53,won
deal_235,GBP,573.57,deleted
deal_236,GBP,138.63,deleted
deal_237,GBP,135.27,won
deal_238,GBP,20.59,lost
deal_239,GBP,654.65,lost
deal_240,USD,904.79,deleted
deal_241,EUR,457.32,open
deal_242,GBP,53.24,open
deal_243,EUR,688.29,deleted
deal_244,USD,770.52,lost
deal_245,USD,229.19,lost
deal_246,GBP,358.9,lost
deal_247,GBP,728.08,deleted
deal_248,GBP,346.45,open
deal_249,GBP,212.76,won
deal_250,USD,772.27,deleted
deal_251,EUR,324.08,lost
deal_252,GBP,419.81,lost
deal_253,USD,663.05,open
deal_254,USD,183.83,open
deal_255,GBP,228.39,open
deal_256,GBP,288.35,open
deal_257,GBP,86.36,won
deal_258,EUR,130.91,won
deal_259,USD,7.88,won
deal_260,EUR,169.42,won
deal_261,GBP,61.6,won
deal_262,USD,688.45,deleted
deal_263,EUR,97.21,lost
deal_264,USD,484.25,deleted
deal_265,USD,315.13,won
deal_266,GBP,810.37,won
deal_267,USD,438.54,deleted
deal_268,USD,119.71,lost
deal_269,EUR,464.26,lost
deal_270,EUR,965.35,open
deal_271,USD,769.03,deleted
deal_272,GBP,657.31,lost
deal_273,GBP,114.49,deleted
deal_274,USD,293.32,deleted
deal_275,EUR,394.9,won
deal_276,GBP,419.34,open
deal_277,USD,358.45,won
deal_278,GBP,488.98,deleted
deal_279,GBP,968.16,won
deal_280,USD,137.89,lost
deal_281,GBP,84.7,won
deal_282,GBP,193.8,open
deal_283,GBP,90.65,open
deal_284,GBP,301.77,won
deal_285,EUR,157.6,won
deal_286,USD,668.95,open
deal_287,GBP,296.55,deleted
deal_288,USD,513.61,lost
deal_289,EUR,651.75,open
deal_290,USD,757.86,deleted
deal_291,EUR,464.74,deleted
deal_292,USD,110.12,won
deal_293,USD,882.33,deleted
deal_294,GBP,241.21,won
deal_295,EUR,880.41,won
deal_296,EUR,640.65,lost
deal_297,EUR,586.45,deleted
deal_298,EUR,163.15,open
deal_299,USD,362.57,deleted
deal_300,GBP,653.58,won
deal_301,EUR,498.53,won
deal_302,USD,164.58,open
deal_303,USD,187.7,deleted
deal_304,USD,110.15,deleted
deal_305,USD,406.04,deleted
deal_306,EUR,385.71,won
deal_307,USD,73.55,open
deal_308,EUR,933.91,deleted
deal_309,USD,319.07,won
deal_310,USD,769.87,won
deal_311,EUR,41.11,open
deal_312,USD,193.18,open
deal_313,EUR,156.67,open
deal_314,USD,600.5,open
deal_315,GBP,56.57,open
deal_316,EUR,676.92,won
deal_317,USD,132.99,won
deal_318,EUR,715.68,open
deal_319,USD,74.42,open
deal_320,EUR,879.06,won
deal_321,USD,92.18,lost
deal_322,GBP,937.24,won
deal_323,GBP,875.9,deleted
deal_324,EUR,132.66,deleted
deal_325,GBP,125.27,won
deal_326,USD,719.9,won
deal_327,USD,757.65,lost
deal_328,EUR,11.14,deleted
deal_329,GBP,757.93,open
deal_330,EUR,640.68,deleted
deal_331,GBP,36.51,deleted
deal_332,USD,162.78,open
deal_333,USD,830.73,open
deal_334,USD,91.63,open
deal_335,EUR,853.48,deleted
deal_336,EUR,680.17,lost
deal_337,GBP,518.03,open
deal_338,EUR,615.21,open
deal_339,GBP,169.61,won
deal_340,GBP,562.98,won
deal_341,EUR,112.99,lost
deal_342,USD,915.63,deleted
deal_343,GBP,630.26,lost
deal_344,USD,656.8,deleted
deal_345,USD,290.3,open
deal_346,GBP,858.7,deleted
deal_347,USD,711.22,lost
deal_348,USD,753.0,deleted
deal_349,GBP,777.12,lost
deal_350,EUR,104.25,deleted
deal_351,USD,149.89,lost
deal_352,USD,777.28,won
deal_353,USD,664.08,lost
deal_354,GBP,4.04,lost
deal_355,EUR,2.29,deleted
deal_356,EUR,289.07,won
deal_357,EUR,298.49,deleted
deal_358,USD,74.38,deleted
deal_359,USD,289.17,open
deal_360,EUR,307.35,deleted
deal_361,EUR,542.23,lost
deal_362,GBP,467.33,deleted
deal_363,EUR,426.48,deleted
deal_364,EUR,59.96,open
deal_365,EUR,996.95,open
deal_366,USD,595.27,lost
deal_367,EUR,11.99,lost
deal_368,EUR,986.44,won
deal_369,USD,985.4,won
deal_370,GBP,861.37,open
deal_371,GBP,541.57,deleted
deal_372,GBP,73.12,deleted
deal_373,GBP,385.73,deleted
deal_374,EUR,647.32,open
deal_375,USD,144.11,lost
deal_376,GBP,725.29,won
deal_377,GBP,174.76,lost
deal_378,GBP,922.05,open
deal_379,GBP,76.77,lost
deal_380,GBP,382.02,won
deal_381,GBP,102.55,open
deal_382,GBP,433.78,won
deal_383,GBP,281.34,lost
deal_384,EUR,730.84,won
deal_385,EUR,121.87,lost
deal_386,GBP,951.33,won
deal_387,GBP,993.12,won
deal_388,USD,731.09,lost
deal_389,USD,644.78,open
deal_390,USD,143.98,open
deal_391,USD,656.06,deleted
deal_392,GBP,470.88,lost
deal_393,GBP,666.55,open
deal_394,USD,124.38,deleted
deal_395,EUR,562.75,lost
deal_396,USD,958.49,open
deal_397,EUR,328.78,deleted
deal_398,EUR,179.62,won
deal_399,USD,533.88,open
deal_400,EUR,654.83,won
deal_401,GBP,344.15,lost
deal_402,USD,751.64,won
deal_403,USD,705.98,open
deal_404,USD,970.27,deleted
deal_405,GBP,663.26,won
deal_406,GBP,115.97,won
deal_407,GBP,314.38,deleted
deal_408,EUR,271.07,open
deal_409,GBP,492.01,lost
deal_410,GBP,902.3,lost
deal_411,EUR,252.7,lost
deal_412,EUR,180.09,won
deal_413,USD,780.93,open
deal_414,USD,556.88,deleted
deal_415,GBP,334.34,open
deal_416,EUR,841.29,open
deal_417,EUR,965.92,deleted
deal_418,EUR,515.31,open
deal_419,EUR,813.89,deleted
deal_420,EUR,844.82,won
deal_421,GBP,966.61,deleted
deal_422,EUR,235.85,won
deal_423,USD,34.58,lost
deal_424,USD,162.73,deleted
deal_425,GBP,780.23,won
